partition	model	mean(α=0)	mean(best)	best_α	%Δ	p<0.001	p<0.005	p<0.01	p_ttest	p_wilcoxon
TS0 Vienna	ernie	0.5438	0.6562	1.92	+20.7%	✓	✓	✓	1.30e-67	3.00e-71
TS0 Vienna	roberta	0.5438	0.5546	0.44	+2.0%		✓	✓	2.32e-03	4.08e-02
TS0 Vienna	rnafm	0.5438	0.6019	1.78	+10.7%	✓	✓	✓	2.38e-25	2.21e-21
TS0 Vienna	rinalmo	0.5438	0.5438	0.00	+0.0%			n.s.	nan	nan
TS0 Vienna	onehot	0.5438	0.5439	0.04	+0.0%			n.s.	8.82e-01	5.38e-01
TS0 Vienna	rnabert	0.5438	0.5489	0.14	+0.9%			n.s.	8.80e-02	5.64e-01
TS0 Contrafold	ernie	0.5604	0.6828	1.96	+21.8%	✓	✓	✓	1.39e-66	2.57e-70
TS0 Contrafold	roberta	0.5604	0.5868	0.56	+4.7%	✓	✓	✓	5.92e-08	5.08e-07
TS0 Contrafold	rnafm	0.5604	0.6235	1.06	+11.3%	✓	✓	✓	3.86e-29	4.25e-30
TS0 Contrafold	rinalmo	0.5604	0.5667	0.42	+1.1%			n.s.	1.32e-01	7.67e-01
TS0 Contrafold	onehot	0.5604	0.5725	0.74	+2.1%		✓	✓	4.36e-03	9.98e-01
TS0 Contrafold	rnabert	0.5604	0.5790	0.56	+3.3%	✓	✓	✓	4.02e-04	1.53e-02
NEW Vienna	ernie	0.6296	0.7102	1.92	+12.8%	✓	✓	✓	8.82e-132	2.41e-129
NEW Vienna	roberta	0.6296	0.6345	0.44	+0.8%			✓	9.33e-03	1.78e-01
NEW Vienna	rnafm	0.6296	0.6238	1.78	-0.9%			n.s.	2.14e-02	1.42e-03
NEW Vienna	rinalmo	0.6296	0.6296	0.00	+0.0%			n.s.	nan	nan
NEW Vienna	onehot	0.6296	0.6289	0.04	-0.1%			n.s.	2.37e-01	8.73e-05
NEW Vienna	rnabert	0.6296	0.6282	0.14	-0.2%			n.s.	2.37e-01	6.03e-05
NEW Contrafold	ernie	0.6300	0.7383	1.96	+17.2%	✓	✓	✓	6.32e-171	3.07e-168
NEW Contrafold	roberta	0.6300	0.6597	0.56	+4.7%	✓	✓	✓	6.29e-30	4.86e-28
NEW Contrafold	rnafm	0.6300	0.6532	1.06	+3.7%	✓	✓	✓	6.69e-19	1.42e-17
NEW Contrafold	rinalmo	0.6300	0.6461	0.42	+2.6%	✓	✓	✓	2.51e-10	1.33e-04
NEW Contrafold	onehot	0.6300	0.6515	0.74	+3.4%	✓	✓	✓	2.68e-16	1.25e-06
NEW Contrafold	rnabert	0.6300	0.6494	0.56	+3.1%	✓	✓	✓	3.73e-12	3.79e-08
