partition,model,mean_F1_alpha0,mean_F1_best_alpha,best_alpha
TS0 Vienna,ernie,0.5438,0.6562,1.92
TS0 Vienna,roberta,0.5438,0.5546,0.44
TS0 Vienna,rnafm,0.5438,0.6019,1.78
TS0 Vienna,rinalmo,0.5438,0.5438,0.00
TS0 Vienna,onehot,0.5438,0.5439,0.04
TS0 Vienna,rnabert,,0.5489,0.14
TS0 Contrafold,ernie,0.5604,0.6828,1.96
TS0 Contrafold,roberta,0.5604,0.5868,0.56
TS0 Contrafold,rnafm,0.5604,0.6235,1.06
TS0 Contrafold,rinalmo,0.5604,0.5667,0.42
TS0 Contrafold,onehot,0.5604,0.5725,0.74
TS0 Contrafold,rnabert,,0.5790,0.56
NEW Vienna,ernie,0.6296,0.7102,1.92
NEW Vienna,roberta,0.6296,0.6345,0.44
NEW Vienna,rnafm,0.6296,0.6238,1.78
NEW Vienna,rinalmo,0.6296,0.6296,0.00
NEW Vienna,onehot,0.6296,0.6289,0.04
NEW Vienna,rnabert,,0.6282,0.14
NEW Contrafold,ernie,0.6300,0.7383,1.96
NEW Contrafold,roberta,0.6300,0.6597,0.56
NEW Contrafold,rnafm,0.6300,0.6532,1.06
NEW Contrafold,rinalmo,0.6300,0.6461,0.42
NEW Contrafold,onehot,0.6300,0.6515,0.74
NEW Contrafold,rnabert,,0.6494,0.56
