model,partition,backend,optimal_alpha,alpha_source,mean_f1
ernie,TS0,Vienna,1.92,Val,0.6561926030443342
roberta,TS0,Vienna,0.44,Val,0.5545538882271284
rnafm,TS0,Vienna,1.78,Val,0.6018916815104843
rinalmo,TS0,Vienna,0.0,Val,0.5437775568919743
onehot,TS0,Vienna,0.04,Val,0.5439247571874521
rnabert,TS0,Vienna,0.14,Val,0.5488947629511893
ernie,TS0,Contrafold,0.0,Val,0.6828071571058465
roberta,TS0,Contrafold,0.0,Val,0.5867955806996191
rnafm,TS0,Contrafold,0.0,Val,0.6235172094118049
rinalmo,TS0,Contrafold,0.0,Val,0.5666710169739998
onehot,TS0,Contrafold,0.0,Val,0.5724765136754428
rnabert,TS0,Contrafold,0.56,sweep,0.5789762024930828
ernie,NEW,Vienna,1.92,Val,0.7102378359721262
roberta,NEW,Vienna,0.44,Val,0.6344562626751215
rnafm,NEW,Vienna,1.78,Val,0.6237877654425995
rinalmo,NEW,Vienna,0.0,Val,0.6295580204224543
onehot,NEW,Vienna,0.04,Val,0.6288966447431037
rnabert,NEW,Vienna,0.14,Val,0.6282476781087953
ernie,NEW,Contrafold,0.0,Val,0.7382947344604527
roberta,NEW,Contrafold,0.0,Val,0.6597320281779794
rnafm,NEW,Contrafold,0.0,Val,0.6532084543201806
rinalmo,NEW,Contrafold,0.0,Val,0.6461375442273366
onehot,NEW,Contrafold,0.0,Val,0.6514527699663012
rnabert,NEW,Contrafold,0.56,sweep,0.6493945861707792
