partition_backend,model,length_bin,n,mean_f1
ts0_vienna,ernie,<100,571,0.7089341673310339
ts0_vienna,ernie,100-199,532,0.6128242113084618
ts0_vienna,ernie,200-400,173,0.6275432675455848
ts0_vienna,ernie,400+,29,0.5842231629430346
ts0_vienna,roberta,<100,571,0.6163246895658736
ts0_vienna,roberta,100-199,532,0.5218155464500795
ts0_vienna,roberta,200-400,173,0.46159253522435323
ts0_vienna,roberta,400+,29,0.4934498996218374
ts0_vienna,rnafm,<100,571,0.6802254004181683
ts0_vienna,rnafm,100-199,532,0.546325699517879
ts0_vienna,rnafm,200-400,173,0.5279137742912773
ts0_vienna,rnafm,400+,29,0.5201926081553612
ts0_vienna,rinalmo,<100,571,0.5957799668508341
ts0_vienna,rinalmo,100-199,532,0.5217818628959892
ts0_vienna,rinalmo,200-400,173,0.45049998545428305
ts0_vienna,rinalmo,400+,29,0.47982421130837655
ts0_vienna,onehot,<100,571,0.5967332033267224
ts0_vienna,onehot,100-199,532,0.5208692902691969
ts0_vienna,onehot,200-400,173,0.4496619614420399
ts0_vienna,onehot,400+,29,0.48941956128899733
ts0_vienna,rnabert,<100,565,0.6042640791015486
ts0_vienna,rnabert,100-199,528,0.5186649239683817
ts0_vienna,rnabert,200-400,167,0.46612977775023134
ts0_vienna,rnabert,400+,28,0.49530347318438467
ts0_contrafold,ernie,<100,571,0.741566695163849
ts0_contrafold,ernie,100-199,532,0.636109640488127
ts0_contrafold,ernie,200-400,173,0.6505519196440513
ts0_contrafold,ernie,400+,29,0.5749291809126741
ts0_contrafold,roberta,<100,571,0.656682596388497
ts0_contrafold,roberta,100-199,532,0.5502328933727291
ts0_contrafold,roberta,200-400,173,0.4834869777726343
ts0_contrafold,roberta,400+,29,0.49776978780046893
ts0_contrafold,rnafm,<100,571,0.6985114233677688
ts0_contrafold,rnafm,100-199,532,0.5731843839723382
ts0_contrafold,rnafm,200-400,173,0.5494245618315854
ts0_contrafold,rnafm,400+,29,0.5122549679055594
ts0_contrafold,rinalmo,<100,571,0.6329190875879404
ts0_contrafold,rinalmo,100-199,532,0.5386247524319698
ts0_contrafold,rinalmo,200-400,173,0.4524437765559685
ts0_contrafold,rinalmo,400+,29,0.4581978103574213
ts0_contrafold,onehot,<100,571,0.6385593542471826
ts0_contrafold,onehot,100-199,532,0.5439897504115158
ts0_contrafold,onehot,200-400,173,0.4599840922300564
ts0_contrafold,onehot,400+,29,0.46498841022708554
ts0_contrafold,rnabert,<100,565,0.6501718000485452
ts0_contrafold,rnabert,100-199,528,0.5394319813946323
ts0_contrafold,rnabert,200-400,167,0.4772759343023936
ts0_contrafold,rnabert,400+,28,0.4946112349570394
new_vienna,ernie,<100,888,0.7874548392244763
new_vienna,ernie,100-199,548,0.6679486692551317
new_vienna,ernie,200-400,132,0.4439836795613
new_vienna,ernie,400+,5,0.5412590315591889
new_vienna,roberta,<100,886,0.6878789833315607
new_vienna,roberta,100-199,548,0.6208025986499284
new_vienna,roberta,200-400,132,0.4319447762747879
new_vienna,roberta,400+,5,0.5030749052082385
new_vienna,rnafm,<100,890,0.6770636556554218
new_vienna,rnafm,100-199,548,0.6097606918887876
new_vienna,rnafm,200-400,131,0.4266243594422928
new_vienna,rnafm,400+,5,0.5141552934388438
new_vienna,rinalmo,<100,405,0.6777726417600984
new_vienna,rinalmo,100-199,251,0.6397481618127029
new_vienna,rinalmo,200-400,60,0.40709783734062494
new_vienna,rinalmo,400+,1,0.358974358974359
new_vienna,onehot,<100,405,0.6776821171038525
new_vienna,onehot,100-199,250,0.6350491760931237
new_vienna,onehot,200-400,60,0.4225154912576629
new_vienna,onehot,400+,1,0.35233160621761656
new_vienna,rnabert,<100,351,0.6693614430596871
new_vienna,rnabert,100-199,221,0.6344078972730067
new_vienna,rnabert,200-400,51,0.4183991959858789
new_vienna,rnabert,400+,1,0.36000000000000004
