alpha,ernie_Vienna,roberta_Vienna,rnafm_Vienna,rinalmo_Vienna,onehot_Vienna,rnabert_Vienna,ernie_Contrafold,roberta_Contrafold,rnafm_Contrafold,rinalmo_Contrafold,onehot_Contrafold,rnabert_Contrafold
0.0,0.5473,0.5473,0.5473,0.5473,0.5473,0.5492,0.5534,0.5534,0.5535,0.5534,0.5534,0.5548
0.02,0.5533,0.5489,0.5504,0.547,0.5472,0.5493,0.5599,0.5554,0.555,0.5542,0.5554,0.5566
0.04,0.559,0.5505,0.5526,0.5466,0.5474,0.5494,0.5668,0.5569,0.5593,0.555,0.5557,0.5581
0.06,0.5634,0.552,0.5541,0.5462,0.5472,0.5507,0.5719,0.5615,0.5624,0.557,0.556,0.5603
0.08,0.5661,0.5524,0.5554,0.5439,0.5464,0.5507,0.578,0.5642,0.5664,0.5573,0.5569,0.5619
0.1,0.5695,0.5526,0.5563,0.5443,0.5462,0.551,0.5846,0.5637,0.5684,0.5593,0.5567,0.5613
0.12,0.5733,0.5532,0.5587,0.5438,0.5464,0.5526,0.5931,0.5631,0.5705,0.5609,0.5587,0.5634
0.14,0.5775,0.5535,0.561,0.5438,0.5463,0.5536,0.5997,0.5661,0.5724,0.5624,0.5584,0.5661
0.16,0.581,0.5546,0.5632,0.5426,0.5463,0.5532,0.6054,0.5689,0.5769,0.5626,0.5588,0.5675
0.18,0.5838,0.5545,0.5641,0.5421,0.5464,0.5531,0.6098,0.5705,0.5789,0.5632,0.5604,0.5687
0.2,0.5867,0.5555,0.5642,0.5418,0.5466,0.5531,0.614,0.575,0.581,0.5612,0.5607,0.5709
0.22,0.5889,0.5576,0.5661,0.5418,0.5461,0.5529,0.6174,0.5777,0.583,0.563,0.5626,0.5723
0.24,0.5923,0.5583,0.5674,0.5409,0.5462,0.5519,0.6211,0.579,0.5846,0.5624,0.5632,0.5747
0.26,0.5955,0.5581,0.5693,0.541,0.546,0.5521,0.6243,0.5798,0.5858,0.5627,0.564,0.5748
0.28,0.6002,0.5582,0.5705,0.5415,0.5453,0.5525,0.6278,0.5811,0.5888,0.5622,0.5638,0.574
0.3,0.6034,0.5577,0.5714,0.5405,0.5453,0.5523,0.6296,0.5825,0.5906,0.5629,0.5641,0.5737
0.32,0.6059,0.5574,0.5725,0.5402,0.5456,0.552,0.6314,0.5837,0.593,0.5646,0.5652,0.5746
0.34,0.6083,0.558,0.5731,0.5393,0.5459,0.5525,0.6338,0.5835,0.5943,0.5645,0.5651,0.5749
0.36,0.6085,0.5594,0.5742,0.5378,0.5447,0.5521,0.6362,0.5841,0.5965,0.5649,0.5644,0.5743
0.38,0.6113,0.5597,0.5753,0.538,0.5445,0.5522,0.6379,0.5845,0.5977,0.5644,0.5646,0.5745
0.4,0.6131,0.5593,0.5757,0.5386,0.5448,0.5515,0.6399,0.5848,0.5987,0.565,0.5642,0.574
0.42,0.6152,0.5592,0.5764,0.5386,0.5455,0.5505,0.6417,0.5842,0.6009,0.5668,0.5656,0.5746
0.44,0.6167,0.5608,0.5766,0.5383,0.5455,0.5498,0.6441,0.5862,0.6018,0.5648,0.5655,0.5754
0.46,0.6186,0.5599,0.5774,0.5379,0.5454,0.5497,0.6459,0.5861,0.6037,0.5649,0.5681,0.5736
0.48,0.6211,0.5593,0.578,0.5367,0.5447,0.549,0.6482,0.5861,0.6043,0.5658,0.5678,0.5759
0.5,0.6219,0.5597,0.5798,0.536,0.5446,0.5483,0.65,0.5871,0.6052,0.5639,0.5679,0.5759
0.52,0.6245,0.5601,0.5795,0.5353,0.5444,0.5479,0.6507,0.5873,0.6074,0.5632,0.5677,0.5749
0.54,0.6267,0.56,0.5802,0.5348,0.5444,0.5486,0.6513,0.5882,0.6088,0.5624,0.5693,0.5749
0.56,0.6292,0.5595,0.5811,0.5341,0.5421,0.5478,0.653,0.5893,0.6101,0.5611,0.5685,0.5761
0.58,0.6309,0.5591,0.5824,0.5332,0.5421,0.5472,0.6541,0.5891,0.612,0.5613,0.5682,0.5746
0.6,0.6319,0.5591,0.5835,0.5323,0.5423,0.5471,0.6555,0.588,0.6125,0.561,0.5689,0.5752
0.62,0.6328,0.5592,0.5838,0.5327,0.5425,0.5466,0.658,0.5872,0.6137,0.5613,0.5689,0.5755
0.64,0.6331,0.5589,0.5856,0.5327,0.5426,0.5466,0.6583,0.5867,0.6133,0.5611,0.57,0.575
0.66,0.6344,0.5577,0.5871,0.5322,0.5426,0.5462,0.6601,0.5859,0.6145,0.5606,0.5701,0.5741
0.68,0.6356,0.5582,0.5875,0.5311,0.5428,0.5463,0.6613,0.5861,0.615,0.5604,0.5706,0.5733
0.7,0.6361,0.5577,0.5879,0.53,0.541,0.546,0.6624,0.5863,0.6154,0.5616,0.5704,0.5727
