seq_id,length,precision,recall,f1,TP,FP,FN,canonical_rate,model,layer,k,seed,threshold,decoding_mode
bpRNA_RFAM_31470,52,0.5555555555555556,0.5,0.5263157894736842,5,4,5,0.4444444444444444,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_54646,373,0.21052631578947367,0.04081632653061224,0.06837606837606837,4,15,94,0.3684210526315789,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_10103,83,0.4444444444444444,1.0,0.6153846153846153,4,5,0,0.7777777777777778,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_24906,77,0.5714285714285714,1.0,0.7272727272727273,4,3,0,1.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_14635,91,0.7727272727272727,0.6296296296296297,0.6938775510204083,17,5,10,0.6818181818181818,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_13735,132,0.48484848484848486,0.5925925925925926,0.5333333333333333,16,17,11,0.5151515151515151,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_36793,73,0.8333333333333334,0.5,0.625,10,2,10,0.75,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_7062,116,0.0,0.0,0.0,0,6,11,0.5,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_30987,73,0.8235294117647058,0.6666666666666666,0.7368421052631577,14,3,7,0.7647058823529411,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_21093,67,0.0,0.0,0.0,0,5,16,0.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37770,171,0.6216216216216216,0.5609756097560976,0.5897435897435899,23,14,18,0.7027027027027027,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_17049,80,0.5,0.375,0.42857142857142855,6,6,10,0.9166666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_21486,116,0.5454545454545454,0.631578947368421,0.5853658536585366,12,10,7,0.8181818181818182,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_18698,82,0.3181818181818182,0.4666666666666667,0.3783783783783784,7,15,8,0.4090909090909091,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_36585,106,0.4375,0.3684210526315789,0.39999999999999997,7,9,12,0.5625,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_22941,121,0.5185185185185185,0.5185185185185185,0.5185185185185185,14,13,13,0.5185185185185185,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_2970,216,0.3548387096774194,0.5116279069767442,0.41904761904761906,22,40,21,0.6935483870967742,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_29080,71,0.5,0.5833333333333334,0.5384615384615384,7,7,5,0.5714285714285714,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_24645,189,0.20833333333333334,0.2631578947368421,0.23255813953488372,10,38,28,0.5208333333333334,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_40203,88,0.2727272727272727,0.5,0.3529411764705882,6,16,6,0.6363636363636364,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_13342,116,0.14285714285714285,0.25,0.18181818181818182,3,18,9,0.42857142857142855,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_38972,406,0.21052631578947367,0.1643835616438356,0.18461538461538463,12,45,61,0.42105263157894735,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_21216,114,0.75,0.1935483870967742,0.30769230769230765,6,2,25,0.875,ernie,11,32,42,0.95,unconstrained
bpRNA_SPR_402,85,0.6428571428571429,0.47368421052631576,0.5454545454545454,9,5,10,0.7857142857142857,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_39694,151,0.17647058823529413,0.07317073170731707,0.10344827586206896,3,14,38,0.4117647058823529,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_42484,121,0.40476190476190477,0.5666666666666667,0.4722222222222222,17,25,13,0.5,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_20013,69,0.6086956521739131,0.9333333333333333,0.7368421052631579,14,9,1,0.9130434782608695,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_16899,129,0.28,0.5833333333333334,0.3783783783783784,7,18,5,0.64,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_4640,88,0.46875,0.7894736842105263,0.5882352941176471,15,17,4,0.75,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37831,173,0.7714285714285715,0.75,0.7605633802816902,27,8,9,0.7714285714285715,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_24975,145,0.08333333333333333,0.25,0.125,2,22,6,0.625,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_9291,201,0.5283018867924528,0.7368421052631579,0.6153846153846154,28,25,10,0.6792452830188679,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_4651,73,0.6190476190476191,0.6842105263157895,0.6500000000000001,13,8,6,0.6190476190476191,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_21697,181,0.7555555555555555,0.4594594594594595,0.5714285714285715,34,11,40,0.8,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_28503,87,0.8461538461538461,0.8148148148148148,0.830188679245283,22,4,5,0.7692307692307693,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_19027,119,0.4444444444444444,0.5714285714285714,0.5,12,15,9,0.5925925925925926,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37922,164,0.0,0.0,0.0,0,16,20,0.625,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_26900,73,0.3333333333333333,0.0625,0.10526315789473684,1,2,15,1.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_5781,128,0.5,0.75,0.6,15,15,5,0.7666666666666667,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_38514,138,0.6206896551724138,0.6428571428571429,0.6315789473684211,18,11,10,0.5172413793103449,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_101,121,0.125,0.045454545454545456,0.06666666666666667,1,7,21,0.625,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_54605,381,0.265625,0.16831683168316833,0.20606060606060606,17,47,84,0.40625,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_2076,102,0.16666666666666666,0.17647058823529413,0.17142857142857143,3,15,14,0.6666666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_25948,71,0.75,0.15789473684210525,0.2608695652173913,3,1,16,1.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_10508,252,0.07142857142857142,0.04,0.05128205128205128,2,26,48,0.39285714285714285,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_31482,48,0.6,0.6,0.6,6,4,4,0.8,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_160,118,0.5714285714285714,0.14814814814814814,0.23529411764705882,4,3,23,1.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_18619,126,0.47058823529411764,0.7272727272727273,0.5714285714285714,16,18,6,0.6764705882352942,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_29546,56,0.38461538461538464,0.625,0.4761904761904762,5,8,3,0.9230769230769231,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_10305,93,0.3333333333333333,0.09523809523809523,0.14814814814814814,2,4,19,0.6666666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_RNP_310,389,0.6451612903225806,0.5714285714285714,0.606060606060606,60,33,45,0.7096774193548387,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_31005,114,0.5,0.7222222222222222,0.5909090909090908,13,13,5,0.7692307692307693,ernie,11,32,42,0.95,unconstrained
bpRNA_SRP_861,100,0.22857142857142856,0.42105263157894735,0.2962962962962963,8,27,11,0.45714285714285713,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_11843,100,0.35714285714285715,1.0,0.5263157894736842,5,9,0,0.5,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_38634,111,0.5714285714285714,0.16,0.25,4,3,21,0.8571428571428571,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_1614,84,0.6,0.631578947368421,0.6153846153846154,12,8,7,0.7,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_34150,135,0.4,0.45454545454545453,0.4255319148936171,10,15,12,0.6,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_2585,366,0.6238532110091743,0.6938775510204082,0.6570048309178744,68,41,30,0.6972477064220184,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_9643,75,1.0,0.5,0.6666666666666666,2,0,2,1.0,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_17438,112,0.15384615384615385,0.1111111111111111,0.12903225806451615,2,11,16,0.6153846153846154,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_18594,88,0.2727272727272727,0.35294117647058826,0.30769230769230765,6,16,11,0.5909090909090909,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_6799,76,0.6666666666666666,0.8571428571428571,0.75,18,9,3,0.7407407407407407,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_15745,128,0.37037037037037035,0.4,0.3846153846153846,10,17,15,0.5185185185185185,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_22456,96,0.6363636363636364,0.3888888888888889,0.4827586206896552,7,4,11,0.6363636363636364,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_18958,153,0.45454545454545453,0.8333333333333334,0.5882352941176471,15,18,3,0.8787878787878788,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_31722,72,0.5,0.42857142857142855,0.4615384615384615,6,6,8,0.5,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_52450,84,0.9285714285714286,0.6190476190476191,0.742857142857143,13,1,8,0.8571428571428571,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_33646,89,0.2,0.1,0.13333333333333333,2,8,18,0.5,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_28378,86,0.8846153846153846,0.8518518518518519,0.8679245283018868,23,3,4,0.7692307692307693,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_53705,75,0.8823529411764706,0.7142857142857143,0.7894736842105262,15,2,6,0.8235294117647058,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_24732,207,0.3902439024390244,0.36363636363636365,0.3764705882352941,16,25,28,0.7073170731707317,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37599,118,0.5,0.4,0.4444444444444445,14,14,21,0.42857142857142855,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_27160,141,0.53125,0.4146341463414634,0.4657534246575343,17,15,24,0.65625,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_25874,244,0.16,0.24489795918367346,0.1935483870967742,12,63,37,0.6266666666666667,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37692,171,0.6764705882352942,0.71875,0.696969696969697,23,11,9,0.7058823529411765,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_19936,119,1.0,0.5142857142857142,0.6792452830188679,18,0,17,0.8888888888888888,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_25863,77,0.0,0.0,0.0,0,0,21,,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_35249,77,0.75,0.6923076923076923,0.7199999999999999,18,6,8,0.7083333333333334,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_28984,75,0.7777777777777778,0.6666666666666666,0.717948717948718,14,4,7,0.6666666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_tmRNA_252,370,0.16428571428571428,0.3770491803278688,0.22885572139303484,23,117,38,0.4357142857142857,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_41304,141,0.35714285714285715,0.5,0.41666666666666663,15,27,15,0.5476190476190477,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_26859,73,0.8333333333333334,0.7142857142857143,0.7692307692307692,15,3,6,0.6666666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_18477,343,0.0,0.0,0.0,0,25,36,0.36,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_28145,87,0.8260869565217391,0.7307692307692307,0.7755102040816326,19,4,7,0.7391304347826086,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_15983,77,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,5,4,0.8571428571428571,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_8051,139,0.5,0.48,0.4897959183673469,12,12,13,0.75,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_40386,76,0.875,0.6666666666666666,0.7567567567567567,14,2,7,0.8125,ernie,11,32,42,0.95,unconstrained
bpRNA_CRW_53219,77,0.9,0.4090909090909091,0.5625000000000001,9,1,13,0.8,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_33756,96,0.5,0.42105263157894735,0.45714285714285713,8,8,11,0.875,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_2012,68,0.6666666666666666,0.4444444444444444,0.5333333333333333,8,4,10,0.6666666666666666,ernie,11,32,42,0.95,unconstrained
bpRNA_SPR_91,70,0.8461538461538461,0.5238095238095238,0.6470588235294118,11,2,10,0.9230769230769231,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_21625,96,0.7727272727272727,0.6296296296296297,0.6938775510204083,17,5,10,0.8181818181818182,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_1243,93,0.07692307692307693,0.05,0.060606060606060615,1,12,19,0.6153846153846154,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_42440,109,0.5806451612903226,0.72,0.6428571428571428,18,13,7,0.6774193548387096,ernie,11,32,42,0.95,unconstrained
bpRNA_SPR_513,87,0.8125,0.65,0.7222222222222223,13,3,7,0.75,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_37148,100,0.1,0.08333333333333333,0.0909090909090909,1,9,11,0.8,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_8208,114,0.5135135135135135,0.76,0.6129032258064517,19,18,6,0.7837837837837838,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_38083,140,0.46153846153846156,0.5454545454545454,0.4999999999999999,12,14,10,0.7307692307692307,ernie,11,32,42,0.95,unconstrained
bpRNA_tmRNA_499,369,0.48598130841121495,0.5842696629213483,0.5306122448979592,52,55,37,0.719626168224299,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_16184,183,0.05263157894736842,0.047619047619047616,0.05,1,18,20,0.3157894736842105,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_5880,132,0.10526315789473684,0.1,0.10256410256410256,2,17,18,0.7894736842105263,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_11817,112,0.3181818181818182,0.28,0.29787234042553196,7,15,18,0.6818181818181818,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_20221,81,1.0,0.4444444444444444,0.6153846153846153,12,0,15,0.8333333333333334,ernie,11,32,42,0.95,unconstrained
bpRNA_tmRNA_651,374,0.07317073170731707,0.42857142857142855,0.125,3,38,4,0.1951219512195122,ernie,11,32,42,0.95,unconstrained
bpRNA_RFAM_41853,66,0.5454545454545454,0.5,0.5217391304347826,6,5,6,0.6363636363636364,ernie,11,32,42,0.95,unconstrained
