seq_id,length,precision,recall,f1,TP,FP,FN,canonical_rate,model,layer,k,seed,threshold,decoding_mode
bpRNA_RFAM_31470,52,0.5454545454545454,0.6,0.5714285714285713,6,5,4,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_CRW_54646,373,0.23214285714285715,0.1326530612244898,0.16883116883116886,13,43,85,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_10103,83,0.2222222222222222,1.0,0.3636363636363636,4,14,0,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_24906,77,0.3076923076923077,1.0,0.47058823529411764,4,9,0,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_14635,91,0.7931034482758621,0.8518518518518519,0.8214285714285715,23,6,4,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_13735,132,0.55,0.7857142857142857,0.6470588235294117,22,18,6,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_CRW_36793,73,0.8947368421052632,0.85,0.8717948717948718,17,2,3,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_7062,116,0.05263157894736842,0.09090909090909091,0.06666666666666667,1,18,10,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_CRW_30987,73,0.8260869565217391,0.9047619047619048,0.8636363636363636,19,4,2,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_21093,67,0.0,0.0,0.0,0,6,16,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_37770,171,0.5636363636363636,0.7560975609756098,0.6458333333333333,31,24,10,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_17049,80,0.36363636363636365,0.5,0.4210526315789474,8,14,8,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_21486,116,0.36363636363636365,0.631578947368421,0.46153846153846156,12,21,7,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_18698,82,0.42105263157894735,0.5333333333333333,0.47058823529411764,8,11,7,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_36585,106,0.45161290322580644,0.7,0.5490196078431372,14,17,6,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_22941,121,0.6363636363636364,0.7777777777777778,0.7000000000000001,21,12,6,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_2970,216,0.3493975903614458,0.6590909090909091,0.4566929133858268,29,54,15,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_29080,71,0.5882352941176471,0.8333333333333334,0.6896551724137931,10,7,2,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_24645,189,0.3055555555555556,0.5789473684210527,0.4000000000000001,22,50,16,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_40203,88,0.3,0.75,0.4285714285714285,9,21,3,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_13342,116,0.12903225806451613,0.3076923076923077,0.18181818181818182,4,27,9,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_38972,406,0.13592233009708737,0.1891891891891892,0.1581920903954802,14,89,60,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_21216,114,0.47619047619047616,0.3225806451612903,0.3846153846153846,10,11,21,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_SPR_402,85,0.7619047619047619,0.8,0.7804878048780488,16,5,4,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_39694,151,0.25,0.225,0.2368421052631579,9,27,31,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_42484,121,0.46511627906976744,0.6666666666666666,0.547945205479452,20,23,10,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_20013,69,0.5384615384615384,0.9333333333333333,0.6829268292682926,14,12,1,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_16899,129,0.2631578947368421,0.8333333333333334,0.39999999999999997,10,28,2,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_4640,88,0.5428571428571428,1.0,0.7037037037037037,19,16,0,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_37831,173,0.6274509803921569,0.8888888888888888,0.735632183908046,32,19,4,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_24975,145,0.05405405405405406,0.25,0.08888888888888889,2,35,6,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_9291,201,0.5076923076923077,0.8461538461538461,0.6346153846153845,33,32,6,1.0,ernie,11,32,42,0.9,canonical_wobble
bpRNA_RFAM_4651,73,0.6153846153846154,0.8421052631578947,0.7111111111111111,16,10,3,1.0,ernie,11,32,42,0.9,canonical_wobble
